# Adobe-Japan1 IVSes
3402 E0100; Adobe-Japan1;CID+2447
5DBC E0100; Adobe-Japan1;CID+5249
5DBD E0100; Adobe-Japan1;CID+5250
5DC3 E0100; Adobe-Japan1;CID+5251
5DC7 E0100; Adobe-Japan1;CID+5252
5DC9 E0100; Adobe-Japan1;CID+5253
5DC9 E0101; Adobe-Japan1;CID+16758
5DCB E0100; Adobe-Japan1;CID+5254
5DCC E0100; Adobe-Japan1;CID+5255
5DCC E0101; Adobe-Japan1;CID+16759
5DCD E0100; Adobe-Japan1;CID+5256
5DCE E0100; Adobe-Japan1;CID+5257
5DD0 E0100; Adobe-Japan1;CID+5258
5DD1 E0100; Adobe-Japan1;CID+5259
5DD2 E0100; Adobe-Japan1;CID+5260
5DD3 E0100; Adobe-Japan1;CID+5261
5DD3 E0101; Adobe-Japan1;CID+16760
5DD6 E0100; Adobe-Japan1;CID+5262
5DD7 E0100; Adobe-Japan1;CID+5263
5DD8 E0100; Adobe-Japan1;CID+5264
5DD9 E0100; Adobe-Japan1;CID+5265
5DDB E0100; Adobe-Japan1;CID+5266
5DDD E0100; Adobe-Japan1;CID+5267
5DDE E0100; Adobe-Japan1;CID+5268
5DE0 E0100; Adobe-Japan1;CID+5269
5DE1 E0100; Adobe-Japan1;CID+5270
5DE1 E0101; Adobe-Japan1;CID+16761
5DE2 E0100; Adobe-Japan1;CID+5271
5DE3 E0100; Adobe-Japan1;CID+5272
5DE4 E0100; Adobe-Japan1;CID+5273
5DE5 E0100; Adobe-Japan1;CID+5274
5DE5 E0101; Adobe-Japan1;CID+16762
5DE6 E0100; Adobe-Japan1;CID+5275
5DE7 E0100; Adobe-Japan1;CID+5276
5DE8 E0100; Adobe-Japan1;CID+5277
5DE8 E0101; Adobe-Japan1;CID+16763
5DE9 E0100; Adobe-Japan1;CID+5278
5DEB E0100; Adobe-Japan1;CID+5279
5DEE E0100; Adobe-Japan1;CID+5280
5DF1 E0100; Adobe-Japan1;CID+5281
5DF2 E0100; Adobe-Japan1;CID+5282
5DF3 E0100; Adobe-Japan1;CID+5283
5DF4 E0100; Adobe-Japan1;CID+5284
5DF5 E0100; Adobe-Japan1;CID+5285
5DF7 E0100; Adobe-Japan1;CID+16435
5DF7 E0101; Adobe-Japan1;CID+5286
5DF8 E0100; Adobe-Japan1;CID+5287
5DF9 E0100; Adobe-Japan1;CID+5288
5DFB E0100; Adobe-Japan1;CID+5289
5DFD E0100; Adobe-Japan1;CID+16385
5DFD E0101; Adobe-Japan1;CID+5290
5DFE E0100; Adobe-Japan1;CID+5291
5DFF E0100; Adobe-Japan1;CID+5292
5E00 E0100; Adobe-Japan1;CID+5293
5E02 E0100; Adobe-Japan1;CID+5294
5E03 E0100; Adobe-Japan1;CID+5295
5E06 E0100; Adobe-Japan1;CID+5296
5E06 E0101; Adobe-Japan1;CID+16764
5E07 E0100; Adobe-Japan1;CID+5297
5E0B E0100; Adobe-Japan1;CID+5298
5E0C E0100; Adobe-Japan1;CID+5299
5E0D E0100; Adobe-Japan1;CID+5300
5E11 E0100; Adobe-Japan1;CID+5301
5E12 E0100; Adobe-Japan1;CID+5302
5E14 E0100; Adobe-Japan1;CID+5303
5E15 E0100; Adobe-Japan1;CID+5304
5E16 E0100; Adobe-Japan1;CID+5305
5E18 E0100; Adobe-Japan1;CID+5306
5E19 E0100; Adobe-Japan1;CID+5307
5E1A E0100; Adobe-Japan1;CID+5308
5E1B E0100; Adobe-Japan1;CID+5309
5E1D E0100; Adobe-Japan1;CID+5310
5E1D E0101; Adobe-Japan1;CID+16765
5E1F E0100; Adobe-Japan1;CID+5311
5E20 E0100; Adobe-Japan1;CID+5312
5E25 E0100; Adobe-Japan1;CID+5313
5E28 E0100; Adobe-Japan1;CID+5314
5E2B E0100; Adobe-Japan1;CID+5315
5E2D E0100; Adobe-Japan1;CID+5316
5E2E E0100; Adobe-Japan1;CID+5317
5E2F E0100; Adobe-Japan1;CID+5318
5E30 E0100; Adobe-Japan1;CID+5319
5E30 E0101; Adobe-Japan1;CID+16766
5E32 E0100; Adobe-Japan1;CID+5320
5E33 E0100; Adobe-Japan1;CID+5321
5E35 E0100; Adobe-Japan1;CID+5322
5E36 E0100; Adobe-Japan1;CID+5323
5E37 E0100; Adobe-Japan1;CID+5324
5E38 E0100; Adobe-Japan1;CID+5325
5E3D E0100; Adobe-Japan1;CID+5326
5E3D E0101; Adobe-Japan1;CID+16767
5E3E E0100; Adobe-Japan1;CID+5327
5E40 E0100; Adobe-Japan1;CID+5328
5E43 E0100; Adobe-Japan1;CID+5329
5E43 E0101; Adobe-Japan1;CID+16768
5E44 E0100; Adobe-Japan1;CID+5330
5E45 E0100; Adobe-Japan1;CID+5331
5E47 E0100; Adobe-Japan1;CID+5332
5E49 E0100; Adobe-Japan1;CID+5333
5E4B E0100; Adobe-Japan1;CID+5334
5E4C E0100; Adobe-Japan1;CID+5335
5E4E E0100; Adobe-Japan1;CID+5336
5E50 E0100; Adobe-Japan1;CID+5337
5E51 E0100; Adobe-Japan1;CID+5338
5E54 E0100; Adobe-Japan1;CID+5339
5E54 E0101; Adobe-Japan1;CID+16769
5E55 E0100; Adobe-Japan1;CID+5340
5E56 E0100; Adobe-Japan1;CID+5341
5E57 E0100; Adobe-Japan1;CID+5342
5E58 E0100; Adobe-Japan1;CID+5343
5E5B E0100; Adobe-Japan1;CID+5344
5E5C E0100; Adobe-Japan1;CID+5345
5E5E E0100; Adobe-Japan1;CID+5346
5E5F E0100; Adobe-Japan1;CID+5347
5E61 E0100; Adobe-Japan1;CID+5348
5E62 E0100; Adobe-Japan1;CID+5349
5E63 E0100; Adobe-Japan1;CID+5350
5E63 E0101; Adobe-Japan1;CID+16770
5E64 E0100; Adobe-Japan1;CID+5351
5E64 E0101; Adobe-Japan1;CID+16771
5E68 E0100; Adobe-Japan1;CID+5352
5E6A E0100; Adobe-Japan1;CID+5353
5E6B E0100; Adobe-Japan1;CID+5354
5E6C E0100; Adobe-Japan1;CID+5355
5E6D E0100; Adobe-Japan1;CID+5356
5E6E E0100; Adobe-Japan1;CID+5357
5E70 E0100; Adobe-Japan1;CID+5358
5E72 E0100; Adobe-Japan1;CID+5359
5E73 E0100; Adobe-Japan1;CID+5360
5E73 E0101; Adobe-Japan1;CID+16772
5E74 E0100; Adobe-Japan1;CID+5361
5E75 E0100; Adobe-Japan1;CID+5362
5E76 E0100; Adobe-Japan1;CID+5363
5E77 E0100; Adobe-Japan1;CID+5364
5E78 E0100; Adobe-Japan1;CID+5365
5E79 E0100; Adobe-Japan1;CID+5366
5E7A E0100; Adobe-Japan1;CID+5367
5E7B E0100; Adobe-Japan1;CID+5368
5E7C E0100; Adobe-Japan1;CID+5369
5E7D E0100; Adobe-Japan1;CID+5370
5E7E E0100; Adobe-Japan1;CID+5371
5E7E E0101; Adobe-Japan1;CID+16773
5E7F E0100; Adobe-Japan1;CID+5372
5E80 E0100; Adobe-Japan1;CID+5373
5E81 E0100; Adobe-Japan1;CID+5374
5E83 E0100; Adobe-Japan1;CID+5375
5E84 E0100; Adobe-Japan1;CID+5376
5E87 E0100; Adobe-Japan1;CID+5377
5E8A E0100; Adobe-Japan1;CID+5378
5E8B E0100; Adobe-Japan1;CID+5379
5E8E E0100; Adobe-Japan1;CID+5380
5E8F E0100; Adobe-Japan1;CID+5381
5E95 E0100; Adobe-Japan1;CID+5382
5E96 E0100; Adobe-Japan1;CID+16436
5E96 E0101; Adobe-Japan1;CID+5383
5E97 E0100; Adobe-Japan1;CID+5384
5E99 E0100; Adobe-Japan1;CID+5385
5E9A E0100; Adobe-Japan1;CID+5386
5E9C E0100; Adobe-Japan1;CID+5387
5EA0 E0100; Adobe-Japan1;CID+5388
5EA2 E0100; Adobe-Japan1;CID+5389
5EA4 E0100; Adobe-Japan1;CID+5390
5EA5 E0100; Adobe-Japan1;CID+5391
5EA6 E0100; Adobe-Japan1;CID+5392
5EA7 E0100; Adobe-Japan1;CID+5393
5EA7 E0101; Adobe-Japan1;CID+16349
5EA8 E0100; Adobe-Japan1;CID+5394
5EAA E0100; Adobe-Japan1;CID+5395
5EAB E0100; Adobe-Japan1;CID+5396
5EAC E0100; Adobe-Japan1;CID+5397
5EAD E0100; Adobe-Japan1;CID+5398
5EAD E0101; Adobe-Japan1;CID+16774
5EB1 E0100; Adobe-Japan1;CID+5399
5EB3 E0100; Adobe-Japan1;CID+5400
5EB5 E0100; Adobe-Japan1;CID+5401
5EB6 E0100; Adobe-Japan1;CID+5402
5EB7 E0100; Adobe-Japan1;CID+5403
5EB8 E0100; Adobe-Japan1;CID+5404
5EB9 E0100; Adobe-Japan1;CID+5405
5EBD E0100; Adobe-Japan1;CID+5406
5EBE E0100; Adobe-Japan1;CID+5407
5EBF E0100; Adobe-Japan1;CID+5408
5EC1 E0100; Adobe-Japan1;CID+5409
5EC2 E0100; Adobe-Japan1;CID+5410
5EC3 E0100; Adobe-Japan1;CID+5411
5EC6 E0100; Adobe-Japan1;CID+5412
5EC8 E0100; Adobe-Japan1;CID+5413
5EC9 E0100; Adobe-Japan1;CID+15414
5EC9 E0101; Adobe-Japan1;CID+5414
5ECA E0100; Adobe-Japan1;CID+5415
5ECA E0101; Adobe-Japan1;CID+15407
5ECA E0102; Adobe-Japan1;CID+16775
5ECB E0100; Adobe-Japan1;CID+5416
5ECB E0101; Adobe-Japan1;CID+16776
5ECC E0100; Adobe-Japan1;CID+5417
5ECE E0100; Adobe-Japan1;CID+5418
5ECF E0100; Adobe-Japan1;CID+5419
5ECF E0101; Adobe-Japan1;CID+16777
5ED0 E0100; Adobe-Japan1;CID+5420
5ED0 E0101; Adobe-Japan1;CID+16778
5ED1 E0100; Adobe-Japan1;CID+5421
5ED2 E0100; Adobe-Japan1;CID+5422
5ED3 E0100; Adobe-Japan1;CID+5423
5ED4 E0100; Adobe-Japan1;CID+5424
5ED5 E0100; Adobe-Japan1;CID+5425
5ED6 E0100; Adobe-Japan1;CID+5426
5ED9 E0100; Adobe-Japan1;CID+5427
5EDA E0100; Adobe-Japan1;CID+5428
5EDB E0100; Adobe-Japan1;CID+5429
5EDC E0100; Adobe-Japan1;CID+5430
5EDD E0100; Adobe-Japan1;CID+5431
5EDE E0100; Adobe-Japan1;CID+5432
5EDF E0100; Adobe-Japan1;CID+16437
5EDF E0101; Adobe-Japan1;CID+5433
5EE0 E0100; Adobe-Japan1;CID+5434
5EE0 E0101; Adobe-Japan1;CID+16779
5EE1 E0100; Adobe-Japan1;CID+5435
5EE2 E0100; Adobe-Japan1;CID+5436
5EE3 E0100; Adobe-Japan1;CID+5437
5EE3 E0101; Adobe-Japan1;CID+16780
5EE3 E0102; Adobe-Japan1;CID+16781
5EE5 E0100; Adobe-Japan1;CID+5438
5EE8 E0100; Adobe-Japan1;CID+5439
5EE9 E0100; Adobe-Japan1;CID+5440
5EEB E0100; Adobe-Japan1;CID+5441
5EEC E0100; Adobe-Japan1;CID+5442
5EF0 E0100; Adobe-Japan1;CID+5443
5EF1 E0100; Adobe-Japan1;CID+5444
5EF3 E0100; Adobe-Japan1;CID+5445
5EF4 E0100; Adobe-Japan1;CID+5446
5EF6 E0100; Adobe-Japan1;CID+5447
5EF6 E0101; Adobe-Japan1;CID+16782
5EF6 E0102; Adobe-Japan1;CID+16783
5EF7 E0100; Adobe-Japan1;CID+5448
5EF7 E0101; Adobe-Japan1;CID+16784
5EF8 E0100; Adobe-Japan1;CID+5449
5EF9 E0100; Adobe-Japan1;CID+5450
5EFA E0100; Adobe-Japan1;CID+5451
5EFA E0101; Adobe-Japan1;CID+16785
5EFB E0100; Adobe-Japan1;CID+16438
5EFB E0101; Adobe-Japan1;CID+5452
5EFC E0100; Adobe-Japan1;CID+5453
5EFD E0100; Adobe-Japan1;CID+5454
5EFE E0100; Adobe-Japan1;CID+5455
5EFF E0100; Adobe-Japan1;CID+5456
5F00 E0100; Adobe-Japan1;CID+5457
5F01 E0100; Adobe-Japan1;CID+5458
5F02 E0100; Adobe-Japan1;CID+5459
5F03 E0100; Adobe-Japan1;CID+5460
5F04 E0100; Adobe-Japan1;CID+5461
5F06 E0100; Adobe-Japan1;CID+5462
5F07 E0100; Adobe-Japan1;CID+5463
5F08 E0100; Adobe-Japan1;CID+5464
5F09 E0100; Adobe-Japan1;CID+5465
5F0A E0100; Adobe-Japan1;CID+5466
5F0A E0101; Adobe-Japan1;CID+16786
5F0B E0100; Adobe-Japan1;CID+5467
5F0C E0100; Adobe-Japan1;CID+5468
5F0D E0100; Adobe-Japan1;CID+5469
5F0E E0100; Adobe-Japan1;CID+5470
5F0F E0100; Adobe-Japan1;CID+5471
5F10 E0100; Adobe-Japan1;CID+5472
5F11 E0100; Adobe-Japan1;CID+5473
5F13 E0100; Adobe-Japan1;CID+5474
5F14 E0100; Adobe-Japan1;CID+5475
5F15 E0100; Adobe-Japan1;CID+5476
5F16 E0100; Adobe-Japan1;CID+5477
5F17 E0100; Adobe-Japan1;CID+5478
5F18 E0100; Adobe-Japan1;CID+5479
5F19 E0100; Adobe-Japan1;CID+5480
5F1B E0100; Adobe-Japan1;CID+5481
5F1C E0100; Adobe-Japan1;CID+5482
5F1D E0100; Adobe-Japan1;CID+5483
5F1E E0100; Adobe-Japan1;CID+5484
5F1F E0100; Adobe-Japan1;CID+5485
5F21 E0100; Adobe-Japan1;CID+5486
5F22 E0100; Adobe-Japan1;CID+5487
5F23 E0100; Adobe-Japan1;CID+5488
5F24 E0100; Adobe-Japan1;CID+5489
5F25 E0100; Adobe-Japan1;CID+5490
5F26 E0100; Adobe-Japan1;CID+5491
5F27 E0100; Adobe-Japan1;CID+5492
5F28 E0100; Adobe-Japan1;CID+5493
5F29 E0100; Adobe-Japan1;CID+5494
5F2B E0100; Adobe-Japan1;CID+5495
5F2C E0100; Adobe-Japan1;CID+5496
5F2D E0100; Adobe-Japan1;CID+5497
5F2D E0101; Adobe-Japan1;CID+16787
5F2E E0100; Adobe-Japan1;CID+5498
5F2F E0100; Adobe-Japan1;CID+5499
5F30 E0100; Adobe-Japan1;CID+5500
5F31 E0100; Adobe-Japan1;CID+5501
5F31 E0101; Adobe-Japan1;CID+16788
5F34 E0100; Adobe-Japan1;CID+5502
5F35 E0100; Adobe-Japan1;CID+5503
5F36 E0100; Adobe-Japan1;CID+5504
5F37 E0100; Adobe-Japan1;CID+5505
5F38 E0100; Adobe-Japan1;CID+5506
5F38 E0101; Adobe-Japan1;CID+16789
5F3A E0100; Adobe-Japan1;CID+5507
5F3B E0100; Adobe-Japan1;CID+5508
5F3C E0100; Adobe-Japan1;CID+5509
5F3D E0100; Adobe-Japan1;CID+5510
5F3E E0100; Adobe-Japan1;CID+5511
5F3F E0100; Adobe-Japan1;CID+5512
5F40 E0100; Adobe-Japan1;CID+5513
5F41 E0100; Adobe-Japan1;CID+5514
5F44 E0100; Adobe-Japan1;CID+5515
5F45 E0100; Adobe-Japan1;CID+5516
5F45 E0101; Adobe-Japan1;CID+16790
5F47 E0100; Adobe-Japan1;CID+5517
5F48 E0100; Adobe-Japan1;CID+5518
5F4A E0100; Adobe-Japan1;CID+5519
5F4C E0100; Adobe-Japan1;CID+5520
5F4D E0100; Adobe-Japan1;CID+5521
5F4E E0100; Adobe-Japan1;CID+5522
5F50 E0100; Adobe-Japan1;CID+5523
5F50 E0101; Adobe-Japan1;CID+1111
5F51 E0100; Adobe-Japan1;CID+5524
5F53 E0100; Adobe-Japan1;CID+5525
5F54 E0100; Adobe-Japan1;CID+5526
5F56 E0100; Adobe-Japan1;CID+5527
5F57 E0100; Adobe-Japan1;CID+5528
5F58 E0100; Adobe-Japan1;CID+5529
5F59 E0100; Adobe-Japan1;CID+5530
5F5B E0100; Adobe-Japan1;CID+5531
5F5C E0100; Adobe-Japan1;CID+5532
5F5D E0100; Adobe-Japan1;CID+5533
5F60 E0100; Adobe-Japan1;CID+5534
5F61 E0100; Adobe-Japan1;CID+5535
5F62 E0100; Adobe-Japan1;CID+5536
5F62 E0101; Adobe-Japan1;CID+16386
5F63 E0100; Adobe-Japan1;CID+5537
5F64 E0100; Adobe-Japan1;CID+5538
5F65 E0100; Adobe-Japan1;CID+5539
5F66 E0100; Adobe-Japan1;CID+5540
5F67 E0100; Adobe-Japan1;CID+5541
5F69 E0100; Adobe-Japan1;CID+5542
5F69 E0101; Adobe-Japan1;CID+16791
5F6A E0100; Adobe-Japan1;CID+5543
5F6B E0100; Adobe-Japan1;CID+5544
5F6B E0101; Adobe-Japan1;CID+16387
5F6C E0100; Adobe-Japan1;CID+5545
5F6D E0100; Adobe-Japan1;CID+5546
5F6F E0100; Adobe-Japan1;CID+5547
5F70 E0100; Adobe-Japan1;CID+5548
5F71 E0100; Adobe-Japan1;CID+5549
5F72 E0100; Adobe-Japan1;CID+5550
5F73 E0100; Adobe-Japan1;CID+5551
5F74 E0100; Adobe-Japan1;CID+5552
5F75 E0100; Adobe-Japan1;CID+5553
5F77 E0100; Adobe-Japan1;CID+5554
5F78 E0100; Adobe-Japan1;CID+5555
5F79 E0100; Adobe-Japan1;CID+5556
5F7A E0100; Adobe-Japan1;CID+5557
5F7C E0100; Adobe-Japan1;CID+5558
5F7D E0100; Adobe-Japan1;CID+5559
5F7E E0100; Adobe-Japan1;CID+5560
5F7F E0100; Adobe-Japan1;CID+5561
5F80 E0100; Adobe-Japan1;CID+5562
5F80 E0101; Adobe-Japan1;CID+16792
5F81 E0100; Adobe-Japan1;CID+5563
5F82 E0100; Adobe-Japan1;CID+5564
5F83 E0100; Adobe-Japan1;CID+5565
5F84 E0100; Adobe-Japan1;CID+5566
5F85 E0100; Adobe-Japan1;CID+5567
5F87 E0100; Adobe-Japan1;CID+5568
5F88 E0100; Adobe-Japan1;CID+5569
5F89 E0100; Adobe-Japan1;CID+5570
5F8A E0100; Adobe-Japan1;CID+5571
5F8B E0100; Adobe-Japan1;CID+5572
5F8C E0100; Adobe-Japan1;CID+5573
5F8D E0100; Adobe-Japan1;CID+5574
5F8F E0100; Adobe-Japan1;CID+5575
5F90 E0100; Adobe-Japan1;CID+5576
5F91 E0100; Adobe-Japan1;CID+5577
5F92 E0100; Adobe-Japan1;CID+5578
5F93 E0100; Adobe-Japan1;CID+5579
5F96 E0100; Adobe-Japan1;CID+5580
5F97 E0100; Adobe-Japan1;CID+5581
5F98 E0100; Adobe-Japan1;CID+16439
5F98 E0101; Adobe-Japan1;CID+5582
5F99 E0100; Adobe-Japan1;CID+5583
5F9C E0100; Adobe-Japan1;CID+5584
5F9D E0100; Adobe-Japan1;CID+5585
5F9E E0100; Adobe-Japan1;CID+5586
5FA0 E0100; Adobe-Japan1;CID+5587
5FA1 E0100; Adobe-Japan1;CID+5588
5FA1 E0101; Adobe-Japan1;CID+16793
5FA2 E0100; Adobe-Japan1;CID+5589
5FA4 E0100; Adobe-Japan1;CID+5590
5FA7 E0100; Adobe-Japan1;CID+5591
5FA8 E0100; Adobe-Japan1;CID+5592
5FA9 E0100; Adobe-Japan1;CID+5593
5FAA E0100; Adobe-Japan1;CID+5594
5FAB E0100; Adobe-Japan1;CID+5595
5FAC E0100; Adobe-Japan1;CID+5596
5FAD E0100; Adobe-Japan1;CID+5597
5FAE E0100; Adobe-Japan1;CID+5598
5FAE E0101; Adobe-Japan1;CID+16794
5FAF E0100; Adobe-Japan1;CID+5599
5FB0 E0100; Adobe-Japan1;CID+5600
5FB1 E0100; Adobe-Japan1;CID+5601
5FB3 E0100; Adobe-Japan1;CID+5602
5FB4 E0100; Adobe-Japan1;CID+5603
5FB5 E0100; Adobe-Japan1;CID+5604
5FB5 E0101; Adobe-Japan1;CID+16795
5FB7 E0100; Adobe-Japan1;CID+5605
5FB8 E0100; Adobe-Japan1;CID+5606
5FB9 E0100; Adobe-Japan1;CID+5607
5FBC E0100; Adobe-Japan1;CID+5608
5FBD E0100; Adobe-Japan1;CID+16440
5FBD E0101; Adobe-Japan1;CID+5609
5FC3 E0100; Adobe-Japan1;CID+5610
5FC4 E0100; Adobe-Japan1;CID+5611
5FC5 E0100; Adobe-Japan1;CID+5612
5FC7 E0100; Adobe-Japan1;CID+5613
5FC8 E0100; Adobe-Japan1;CID+5614
5FC9 E0100; Adobe-Japan1;CID+5615
5FCB E0100; Adobe-Japan1;CID+5616
5FCC E0100; Adobe-Japan1;CID+5617
5FCD E0100; Adobe-Japan1;CID+5618
5FCD E0101; Adobe-Japan1;CID+16796
5FD0 E0100; Adobe-Japan1;CID+5619
5FD1 E0100; Adobe-Japan1;CID+5620
5FD2 E0100; Adobe-Japan1;CID+5621
5FD3 E0100; Adobe-Japan1;CID+5622
5FD4 E0100; Adobe-Japan1;CID+5623
5FD6 E0100; Adobe-Japan1;CID+5624
5FD7 E0100; Adobe-Japan1;CID+5625
5FD8 E0100; Adobe-Japan1;CID+5626
5FD8 E0101; Adobe-Japan1;CID+16797
5FD9 E0100; Adobe-Japan1;CID+5627
5FD9 E0101; Adobe-Japan1;CID+16798
5FDC E0100; Adobe-Japan1;CID+5628
5FDD E0100; Adobe-Japan1;CID+5629
5FDD E0101; Adobe-Japan1;CID+16799
5FDE E0100; Adobe-Japan1;CID+5630
5FE0 E0100; Adobe-Japan1;CID+5631
5FE1 E0100; Adobe-Japan1;CID+5632
5FE2 E0100; Adobe-Japan1;CID+5633
5FE4 E0100; Adobe-Japan1;CID+5634
5FE8 E0100; Adobe-Japan1;CID+5635
5FE9 E0100; Adobe-Japan1;CID+5636
5FEA E0100; Adobe-Japan1;CID+5637
5FEB E0100; Adobe-Japan1;CID+5638
5FEC E0100; Adobe-Japan1;CID+5639
5FED E0100; Adobe-Japan1;CID+5640
5FEE E0100; Adobe-Japan1;CID+5641
5FEF E0100; Adobe-Japan1;CID+5642
5FF0 E0100; Adobe-Japan1;CID+5643
5FF1 E0100; Adobe-Japan1;CID+5644
5FF2 E0100; Adobe-Japan1;CID+5645
5FF3 E0100; Adobe-Japan1;CID+5646
5FF5 E0100; Adobe-Japan1;CID+5647
5FF6 E0100; Adobe-Japan1;CID+5648
5FF8 E0100; Adobe-Japan1;CID+5649
5FFA E0100; Adobe-Japan1;CID+5650
5FFB E0100; Adobe-Japan1;CID+5651
5FFC E0100; Adobe-Japan1;CID+5652
5FFD E0100; Adobe-Japan1;CID+5653
5FFF E0100; Adobe-Japan1;CID+5654
6007 E0100; Adobe-Japan1;CID+5655
600A E0100; Adobe-Japan1;CID+5656
600D E0100; Adobe-Japan1;CID+5657
600E E0100; Adobe-Japan1;CID+5658
600F E0100; Adobe-Japan1;CID+5659
6010 E0100; Adobe-Japan1;CID+5660
6012 E0100; Adobe-Japan1;CID+5661
6013 E0100; Adobe-Japan1;CID+5662
6014 E0100; Adobe-Japan1;CID+5663
6015 E0100; Adobe-Japan1;CID+5664
6016 E0100; Adobe-Japan1;CID+5665
6017 E0100; Adobe-Japan1;CID+5666
6018 E0100; Adobe-Japan1;CID+5667
6019 E0100; Adobe-Japan1;CID+5668
601A E0100; Adobe-Japan1;CID+5669
601B E0100; Adobe-Japan1;CID+5670
601C E0100; Adobe-Japan1;CID+5671
601D E0100; Adobe-Japan1;CID+5672
601F E0100; Adobe-Japan1;CID+5673
6020 E0100; Adobe-Japan1;CID+5674
6021 E0100; Adobe-Japan1;CID+5675
6022 E0100; Adobe-Japan1;CID+5676
6024 E0100; Adobe-Japan1;CID+5677
6025 E0100; Adobe-Japan1;CID+5678
6025 E0101; Adobe-Japan1;CID+16800
6026 E0100; Adobe-Japan1;CID+5679
6027 E0100; Adobe-Japan1;CID+5680
6028 E0100; Adobe-Japan1;CID+5681
6029 E0100; Adobe-Japan1;CID+5682
602A E0100; Adobe-Japan1;CID+5683
602B E0100; Adobe-Japan1;CID+5684
602D E0100; Adobe-Japan1;CID+5685
602F E0100; Adobe-Japan1;CID+5686
6031 E0100; Adobe-Japan1;CID+5687
6033 E0100; Adobe-Japan1;CID+5688
6035 E0100; Adobe-Japan1;CID+5689
603A E0100; Adobe-Japan1;CID+5690
6040 E0100; Adobe-Japan1;CID+5691
6041 E0100; Adobe-Japan1;CID+5692
6042 E0100; Adobe-Japan1;CID+5693
6043 E0100; Adobe-Japan1;CID+5694
6046 E0100; Adobe-Japan1;CID+5695
6047 E0100; Adobe-Japan1;CID+5696
6048 E0100; Adobe-Japan1;CID+5697
6049 E0100; Adobe-Japan1;CID+5698
604A E0100; Adobe-Japan1;CID+5699
604B E0100; Adobe-Japan1;CID+5700
604C E0100; Adobe-Japan1;CID+5701
604D E0100; Adobe-Japan1;CID+5702
6050 E0100; Adobe-Japan1;CID+5703
6050 E0101; Adobe-Japan1;CID+16801
6051 E0100; Adobe-Japan1;CID+5704
6052 E0100; Adobe-Japan1;CID+5705
6054 E0100; Adobe-Japan1;CID+5706
6055 E0100; Adobe-Japan1;CID+5707
6056 E0100; Adobe-Japan1;CID+5708
6057 E0100; Adobe-Japan1;CID+5709
6059 E0100; Adobe-Japan1;CID+5710
605A E0100; Adobe-Japan1;CID+5711
605D E0100; Adobe-Japan1;CID+5712
605F E0100; Adobe-Japan1;CID+5713
6060 E0100; Adobe-Japan1;CID+5714
6061 E0100; Adobe-Japan1;CID+5715
6062 E0100; Adobe-Japan1;CID+16441
6062 E0101; Adobe-Japan1;CID+16802
6062 E0102; Adobe-Japan1;CID+5716
6063 E0100; Adobe-Japan1;CID+5717
6064 E0100; Adobe-Japan1;CID+5718
6065 E0100; Adobe-Japan1;CID+5719
6065 E0101; Adobe-Japan1;CID+16803
6067 E0100; Adobe-Japan1;CID+5720
6068 E0100; Adobe-Japan1;CID+5721
6069 E0100; Adobe-Japan1;CID+5722
606A E0100; Adobe-Japan1;CID+5723
606B E0100; Adobe-Japan1;CID+5724
606C E0100; Adobe-Japan1;CID+5725
606D E0100; Adobe-Japan1;CID+5726
606F E0100; Adobe-Japan1;CID+5727
6070 E0100; Adobe-Japan1;CID+5728
6071 E0100; Adobe-Japan1;CID+5729
6075 E0100; Adobe-Japan1;CID+5730
6075 E0101; Adobe-Japan1;CID+15510
6077 E0100; Adobe-Japan1;CID+5731
607E E0100; Adobe-Japan1;CID+5732
607F E0100; Adobe-Japan1;CID+5733
6081 E0100; Adobe-Japan1;CID+5734
6082 E0100; Adobe-Japan1;CID+5735
6083 E0100; Adobe-Japan1;CID+5736
6084 E0100; Adobe-Japan1;CID+5737
6085 E0100; Adobe-Japan1;CID+5738
6086 E0100; Adobe-Japan1;CID+5739
6088 E0100; Adobe-Japan1;CID+5740
6089 E0100; Adobe-Japan1;CID+5741
608A E0100; Adobe-Japan1;CID+5742
608B E0100; Adobe-Japan1;CID+5743
608C E0100; Adobe-Japan1;CID+5744
608D E0100; Adobe-Japan1;CID+5745
608E E0100; Adobe-Japan1;CID+5746
6091 E0100; Adobe-Japan1;CID+5747
6092 E0100; Adobe-Japan1;CID+5748
6093 E0100; Adobe-Japan1;CID+5749
6094 E0100; Adobe-Japan1;CID+15464
6094 E0101; Adobe-Japan1;CID+5750
6095 E0100; Adobe-Japan1;CID+5751
6096 E0100; Adobe-Japan1;CID+5752
6097 E0100; Adobe-Japan1;CID+5753
6097 E0101; Adobe-Japan1;CID+16804
6097 E0102; Adobe-Japan1;CID+16805
6098 E0100; Adobe-Japan1;CID+5754
609A E0100; Adobe-Japan1;CID+5755
609B E0100; Adobe-Japan1;CID+5756
609D E0100; Adobe-Japan1;CID+5757
609E E0100; Adobe-Japan1;CID+16442
609E E0101; Adobe-Japan1;CID+5758
609F E0100; Adobe-Japan1;CID+5759
60A0 E0100; Adobe-Japan1;CID+5760
60A2 E0100; Adobe-Japan1;CID+5761
60A3 E0100; Adobe-Japan1;CID+5762
60A4 E0100; Adobe-Japan1;CID+5763
60A4 E0101; Adobe-Japan1;CID+16806
60A5 E0100; Adobe-Japan1;CID+5764
